test_id,category,scenario,label,explanation,overall,tool_recall,routing_match,hitl_match,keyword_score,state_match,judge_score,prompt
account_bal200_049,account,debug_needed,keyword_miss,keyword_score=0.00; required term(s) absent,0.787,1.0,1.0,1.0,0.0,1.0,0.25,Use the correct Slurm accounting command for: Show all Slurm accounting users
bulk_cancel_pending_healthy,bulk,healthy,state_drift,state_match=0.00; multi-step coherence degraded,0.738,1.0,1.0,1.0,0.5,0.0,0.25,Cancel all pending jobs in the queue
bulk_bal200_006,bulk,failed,state_drift,state_match=0.00; multi-step coherence degraded,0.787,1.0,1.0,1.0,1.0,0.0,0.25,Apply the requested bulk action to all eligible targets: Cancel all of charlie's jobs
bulk_bal200_161,bulk,debug_needed,state_drift,state_match=0.00; multi-step coherence degraded,0.738,1.0,1.0,1.0,0.5,0.0,0.25,"Resolve the affected jobs, then perform this bulk request: Remove all waiting pending jobs"
diagnose_bal200_106,diagnose,mixed,missing_tool,required tool(s) not invoked: ['squeue'],0.533,0.0,1.0,1.0,0.333,1.0,0.0,Find the concrete reason behind: Which job is stuck?
edge_waiting_phrase_failed,edge,failed,wrong_routing,spurious handoff to Operator,0.425,1.0,0.0,0.0,1.0,0.0,0.5,Remove all waiting jobs
multi_requeue_failed_alice_debug_needed,multi_step,debug_needed,state_drift,state_match=0.00; multi-step coherence degraded,0.787,1.0,1.0,1.0,1.0,0.0,0.25,Find all failed jobs for alice and requeue them
multi_step_bal200_059,multi_step,mixed,state_drift,state_match=0.00; multi-step coherence degraded,0.787,1.0,1.0,1.0,1.0,0.0,0.25,Respect the conditional wording in: Find all failed jobs for bob and requeue them
multi_step_bal200_169,multi_step,mixed,state_drift,state_match=0.00; multi-step coherence degraded,0.787,1.0,1.0,1.0,1.0,0.0,0.25,Complete this conditional operation: Find all failed jobs for bob and requeue them
read_bal200_041,read,failed,missing_tool,required tool(s) not invoked: ['sreport'],0.604,0.0,1.0,1.0,0.667,1.0,0.25,Please answer this read-only Slurm query from live state: How many CPU hours has charlie used this month?
